"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-19","58","88","48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-20","63",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-21","53","77","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-22","57","75","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-23","57","73","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-24","60","72",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-25","52",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-26","52","75","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-29","59",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-01","50","63","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-02","52",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-03","60",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-04","58",,"34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-06","47","70","34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-09","62",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-10","57","72",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-13","57",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-14","54",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-15","52","63","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-16","50","57","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-17","56",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-21","54",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-22","57","68",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-23","58",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-24","65",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-26","53","61",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-27","57","63","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-28","55",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-29","56",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-30","48",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-05-31","45",,"34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-03","63",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-04","49","72","34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-05","49",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-06","50",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-07","43","57","37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-08","53",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-10","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-13","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-14","41",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-15","44",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-16","47","54",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-17","42",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-18","48",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-20","53",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-23","48",,"37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-24","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-25","49",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-26","44",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-27","48",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-28","53",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-06-30","52","64",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-03","50",,"32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-09","55",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-10","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-11","47",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-15","41","45",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-18","50",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-20","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-21","48",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-24","46","55",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-25","46",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-26","47",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-27","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-28","49",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-30","45",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-07-31","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-01","53",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-02","46",,"28"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-03","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-04","40",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-05","51",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-06","58",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-09","39",,"27"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-11","40",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-16","51","68","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-19","57",,"39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-20","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-21","52",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-24","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-25","45",,"30"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-27","52",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-08-28","42","64","32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-02","49",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-03","51",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-04","50","57","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-05","57","61",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-06","38",,"28"
